country,x,y
Norway,-206,261
Sweden,-105,226
Finland,41,315
Estonia,74,218
Latvia,52,158
Lithuania,49,125
Belarus,134,78
Ukraine,178,-27
Poland,9,21
Germany,-198,-37
Netherlands,-269,23
Belgium,-304,-25
France,-372,-148
Spain,-500,-330
Portugal,-625,-329
England,-405,31
Ireland,-498,77
Italy,-122,-295
Switzerland,-237,-159
Czech Republic,-102,-67
Slovakia,-3,-102
Hungary,-6,-151
Austria,-73,-124
Romania,119,-167
Bulgaria,135,-276
Turkey,388,-327
Greece,80,-378
Serbia,44,-225
Bosnia,-23,-233
Croatia,-74,-241
Slovenia,-84,-187
Albania,29,-341
Macedonia,77,-313
Montenegro,18,-283